0.01140 1596.09863 61.21362
0.01191 1128.81992 47.85432
0.01242 762.58621 51.30436
0.01292 466.95292 37.39862
0.01343 324.90416 26.51022
0.01394 246.37116 18.74377
0.01444 208.69695 15.53548
0.01495 172.54409 13.15262
0.01546 132.46786 8.22681
0.01596 123.48853 7.92776
0.01647 107.17183 5.91320
0.01698 90.96766 4.70000
0.01748 82.13282 3.96181
0.01799 75.49602 3.34678
0.01850 67.01072 2.70200
0.01900 60.61116 2.21403
0.01951 54.55436 1.89771
0.02002 51.25829 1.72501
0.02052 47.89635 1.33404
0.02103 45.68704 1.16417
0.02154 42.30333 0.94601
0.02204 40.60223 0.83217
0.02255 38.24990 0.69374
0.02306 36.64009 0.60976
0.02356 34.40395 0.55472
0.02407 33.92758 0.52067
0.02458 32.85579 0.45176
0.02509 31.73219 0.42497
0.02559 30.26522 0.38415
0.02610 29.75273 0.33306
0.02661 29.05857 0.30302
0.02711 27.98346 0.28241
0.02762 27.16042 0.26599
0.02813 26.27374 0.24654
0.02863 25.65606 0.26859
0.02914 25.12386 0.25101
0.02965 24.74637 0.24942
0.03015 24.56571 0.22337
0.03066 23.60560 0.21459
0.03117 23.27097 0.21745
0.03167 23.08591 0.20657
0.03218 22.44001 0.21177
0.03269 22.59316 0.21190
0.03319 21.76459 0.20216
0.03370 21.99534 0.20893
0.03421 21.22942 0.19408
0.03471 21.20062 0.18646
0.03522 21.05686 0.19220
0.03573 20.71273 0.18700
0.03623 20.51846 0.19125
0.03674 20.39584 0.18269
0.03725 19.85700 0.19162
0.03775 20.01459 0.18543
0.03826 19.78929 0.17122
0.03877 19.65874 0.17719
0.03927 19.29696 0.18574
0.03978 19.02128 0.17182
0.04029 18.83086 0.16444
0.04080 18.72931 0.16083
0.04130 18.59315 0.16506
0.04181 18.74722 0.16172
0.04232 18.19773 0.16646
0.04282 18.47267 0.16212
0.04333 18.29678 0.15463
0.04384 18.16824 0.15447
0.04434 17.91848 0.15655
0.04485 17.90961 0.15184
0.04536 17.80388 0.15274
0.04586 17.76245 0.15461
0.04637 17.71329 0.15780
0.04688 17.85977 0.15838
0.04738 17.74701 0.14922
0.04789 17.47114 0.14916
0.04840 17.54119 0.14993
0.04890 17.31955 0.14794
0.04941 17.29350 0.14126
0.04992 17.35087 0.13937
0.05042 17.29682 0.14572
0.05093 17.19580 0.14495
0.05144 17.06660 0.14125
0.05194 17.18163 0.13425
0.05245 16.85926 0.13816
0.05296 16.81232 0.13633
0.05346 17.03578 0.13580
0.05397 16.96846 0.12766
0.05448 16.87998 0.13532
0.05498 16.76160 0.13596
0.05549 16.63389 0.12630
0.05600 16.61108 0.13353
0.05650 16.45454 0.12946
0.05701 16.44395 0.13039
0.05752 16.56533 0.13160
0.05803 16.43276 0.12682
0.05853 16.32902 0.12573
0.05904 16.29034 0.12735
0.05955 16.35068 0.13068
0.06005 16.19069 0.12745
0.06056 16.15145 0.12547
0.06107 16.02971 0.12041
0.06157 15.96023 0.12535
0.06208 15.92024 0.12355
0.06259 16.33358 0.12478
0.06309 16.04937 0.12132
0.06360 15.82844 0.12277
0.06411 15.85457 0.11709
0.06461 15.83850 0.11735
0.06512 15.86842 0.11961
0.06563 15.69548 0.11687
0.06613 15.88998 0.11797
0.06664 15.77002 0.12222
0.06715 15.67379 0.12324
0.06765 15.71794 0.11385
0.06816 15.86645 0.11577
